year,artist,streams
2017,"Adam Mitchell, Stanley Tucci, Ewan McGregor, Gugu Mbatha-Raw, Ian McKellen, Emma Thompson, Emma Watson, Audra McDonald, Clive Rowe",65444.0
2017,"Adam Mišík, Celeste Buckingham",0.0
2017,"Adam Mišík, Renne Dang",0.0
2017,"Adam Mišík, Vladimir Misik",0.0
2017,Adam Naas,68869.0
2017,Adam Sample,0.0
2017,Adam Sandler,0.0
2017,Adam Torres,0.0
2017,Adam Ďurica,0.0
2017,"Adam Ďurica, DJ Herrag",0.0
2017,Adamlar,4812674.0
2017,Adamo,0.0
2017,Adan Jodorowsky,0.0
2017,"Adan Jodorowsky, León Larregui",0.0
2017,"Adan Jodorowsky, Natalia Lafourcade",0.0
2017,Adana,0.0
2017,Adaptados,0.0
2017,"Adaptiv, Andrew Belize",0.0
2017,Adason Lo,2193.0
2017,Adel,4009012.0
2017,Adel Tawil,10780605.0
2017,"Adel Tawil, KC Rebell, Summer Cem",9300970.0
2017,Adele,330756483.0
2017,"Adele, The Raconteurs",0.0
2017,Adelén,123941.0
2017,Adema,0.0
2017,"Aden, Asme",1272122.0
2017,Adera,3456827.0
2017,Adexe & Nau,0.0
2017,Adhesivo,0.0
2017,Adhitia Sofyan,637422.0
2017,Adhoc,0.0
2017,Adi L Hasla,1227131.0
2017,"Adi L Hasla, Elias Gould",466734.0
2017,"Adi L Hasla, IKE",73654.0
2017,"Adi L Hasla, Mäkki, Kube",360238.0
2017,Adi Nowak,0.0
2017,"Adi Nowak, Zuzanna Niedzielska",0.0
2017,"Adi Nowak, barvinsky",0.0
2017,Adickta Sinfonía,0.0
2017,Adikia,0.0
2017,Adinda Shalahita,31182.0
2017,"Adiss, Majk Spirit",0.0
2017,Aditya Ariandika,0.0
2017,Adje,135223.0
2017,"Adje, Architrackz",147942.0
2017,"Adje, CHO",498072.0
2017,"Adje, Sevn Alias",404974.0
2017,Admiral P,16477.0
2017,"Admiral P, OnklP, Eben Jr.",10437.0
2017,Admiral T,0.0
2017,"Admiral T, Kalash",0.0
2017,Adna,0.0
2017,Adolescent's Orquesta,0.0
2017,Adolf Fredriks Musikklasser,35249.0
2017,"Adolf Fredriks Musikklasser, Stockholms Musikgymnasium",130052.0
2017,"Adolf Fredriks Ungdomskör, Adolf Fredriks Flickkör",50812.0
2017,"Adolf Fredriks kyrkas kammarkör, Karin Backstrom",111013.0
2017,Adolfo Echeverria,34202.0
2017,"Adolphe Adam, John Williams",124249.0
2017,"Adolphe Adam, Jussi Björling",0.0
2017,"Adolphe Adam, Jussi Björling, Nils Grevillius, Unidentified Orchestra",38584.0
2017,Adolphson & Falk,4075910.0
2017,Adonde Boy,0.0
2017,"Adoo, SAMI",288615.0
2017,Adrees,58898.0
2017,Adrian Barba,0.0
2017,Adrian Jørgensen,0.0
2017,"Adrian Khalif, Dipha Barus",34568.0
2017,Adrian Lux,0.0
2017,Adrian Modiggård,0.0
